,index,0
0,배럴,2907
1,전주,2284
2,미국,2061
3,기록,1400
4,증가,1378
5,기준,1346
6,감소,1280
7,대비,1124
8,만b,860
9,원유,732
10,원유생산,688
11,상승,649
12,발표,570
13,하락,489
14,자금,473
15,투기성,469
16,감산,420
17,포지션,389
18,주간,380
19,원유시추,367
20,원유재고,320
21,스프레드,319
22,원월물,302
23,석유재고,298
24,순매수,280
25,선물거래,279
26,상품선물거래위원회,277
27,사우디,271
28,지난주,258
29,선물가격,254
30,휘발유,251
31,선물유가,249
32,가치,241
33,유로화,234
34,환율,223
35,백만b,222
36,러시아,213
37,중간유분,213
38,생산,206
39,국제유가,205
40,매수,197
41,유가,191
42,에너지정보청,177
43,리비아,177
44,제한,176
45,장관,171
46,최근월물,171
47,석유수요,169
48,세계,157
49,전월,154
50,휘발유재고,149
51,중간유분재고,146
52,축소,146
53,헤지펀드,141
54,예상,137
55,가능성,137
56,이란,134
57,중국,128
58,우려,126
59,확대,126
60,연장,125
61,국제,124
62,베이커휴즈,124
63,백워데이션,123
64,이후,121
65,전망,120
66,비OPEC,120
67,중단,117
68,콘탱고,116
69,언급,113
70,상업용,111
71,에너지부,111
72,소식,111
73,합의,105
74,제재,102
75,감소함,99
76,지역,99
77,상승폭,98
78,증산,98
79,수준,97
80,회복,95
81,전망치,93
82,석유시장,93
83,회의,93
84,생산량,91
85,주요,91
86,지속,90
87,산유국들,90
88,증가함,90
89,베네수엘라,87
90,달러화,86
91,내년,86
92,산유국,83
93,기록함,83
94,계획,83
95,요인,82
96,원유수출,82
97,최근원물,82
98,대통령,81
99,규모,81
100,전망함,80
101,이라크,79
102,영향,76
103,공급,75
104,발생,73
105,불구,71
106,차질,70
107,트럼프,70
108,선물,70
109,나이지리아,69
110,보도,69
111,발언,68
112,동일,67
113,로이터,67
114,첫째,66
115,둘째,66
116,하락폭,65
117,선물유,65
118,셋째,64
119,예정,63
120,송유관,62
121,현물,62
122,감산기간,62
123,수출,60
124,확진자,59
125,완화,59
126,가동,58
127,유전,57
128,둔화,57
129,원유수입,56
130,재개,56
131,기대감,56
132,금년,56
133,연준,53
134,제기,52
135,최고치,51
136,회원국,51
137,석유부,51
138,증가세,50
139,넷째,50
140,확산,50
141,이행,49
142,시장,48
143,허리케인,47
144,논의,47
145,인도,47
146,전년,47
147,유럽,46
148,일부,46
149,공격,46
150,원유생산량,46
151,개월,46
152,상향,45
153,연속,44
154,개최,44
155,셰일오,44
156,신규,44
157,조치,43
158,자국,43
159,분기,43
160,재고,43
161,쿠웨이트,42
162,기간,42
163,결정,42
164,포함,42
165,협상,41
166,백신,40
167,쿠싱,40
168,원유공급,40
169,알제리,39
170,기존,39
171,동결,38
172,올해,38
173,인상,38
174,감산량,37
175,지연,37
176,에너지,37
177,인도지점,37
178,교차,36
179,당초,36
180,마지막,36
181,가운데,35
182,산유량,35
183,강세,35
184,영국,35
185,아시아,35
186,석유,35
187,멕시코,34
188,시추,34
189,경우,34
190,보고서,34
191,사무총장,33
192,글로벌,33
193,정제시설,33
194,월간,33
195,정부,32
196,국영석유회사,32
197,현재,32
198,국영,31
199,한편,31
200,감산합,31
201,시작,31
202,작용,31
203,반면,31
204,경제,31
205,기준금리,31
206,종료,30
207,하반기,30
208,동안,30
209,약세,30
210,수요,30
211,가격,30
212,부족,30
213,인터뷰,29
214,국가,29
215,재확산,29
216,상황,29
217,해소,29
218,국제에너지기구,28
219,필요,28
220,총회,27
221,감산이행률,27
222,최대,27
223,하향,26
224,안정,26
225,불확실성,26
226,보합세,26
227,석유제품,25
228,개국,25
229,과잉,25
230,바이러스,25
231,행정부,24
232,주요국,24
233,석유시설,24
234,조정함,24
235,전망됨,24
236,상회,24
237,지정학적,24
238,평균,23
239,멕시코만,23
240,이전,23
241,의회,23
242,석유공급,23
243,카자흐스탄,23
244,양국,23
245,월호,22
246,최저치,22
247,유지함,22
248,경기부양책,22
249,이상,21
250,주장,21
251,수입,21
252,대응,21
253,운영,21
254,상승세,21
255,지난해,21
256,조정,21
257,방안,21
258,선언,21
259,유지,20
260,월물,20
261,경기,20
262,목표,20
263,사상,20
264,대통령의,20
265,요구,20
266,도달,20
267,심화,20
268,천b,20
269,균형,20
270,시행,20
271,공급과잉,19
272,핵합의,19
273,평가,19
274,이유,19
275,이행률,19
276,베이커,19
277,의견,19
278,휴즈,19
279,무장단체,19
280,카타르,19
281,제외,19
282,고조,19
283,중동,18
284,불안,18
285,러시아가,18
286,원유수요,18
287,대상,18
288,프랑스,18
289,금리,18
290,반군,18
291,중간유분은,18
292,공조,18
293,장관급,18
294,기대,18
295,안정화,17
296,해상,17
297,감축,17
298,유조선,17
299,원유수출량,17
300,처음,17
301,예상치,17
302,사우디아라비아,17
303,증가분,17
304,초과,17
305,텍사스,17
306,시사함,17
307,정제투입,17
308,봉쇄,17
309,유지하기,17
310,지속적,17
311,방출,17
312,결정함,16
313,브렌트유,16
314,강화,16
315,물량,16
316,감소폭,16
317,문제,16
318,필요성,16
319,준수율,16
320,각각,16
321,수출량,16
322,여부,16
323,진행,16
324,무역협상,16
325,추진,16
326,가스,16
327,미국은,16
328,승인,15
329,이번,15
330,상반기,15
331,하락세,15
332,참여국,15
333,시설,15
334,의장,15
335,정제가동률,15
336,터미널,15
337,전략비축유,15
338,연방공개시장위원회,15
339,최근,15
340,폐쇄,15
341,북해,15
342,공식판매가격,15
343,협력,15
344,달러,15
345,생산차질,15
346,하회,15
347,운하,15
348,참석,15
349,종전,15
350,비슷,15
351,생산시설,15
352,월간보고서,15
353,상태,15
354,감산규모,14
355,오스트리아,14
356,수급,14
357,고조됨,14
358,탈퇴,14
359,동부,14
360,관계자,14
361,상승요인,14
362,참여,14
363,급증,14
364,면제,14
365,통신,14
366,사태,14
367,합의국,14
368,이란산,14
369,소비,14
370,과거,14
371,제조업,14
372,국가들,14
373,후티,14
374,분석,14
375,군벌,13
376,판매,13
377,쿠르드,13
378,비엔나,13
379,일본,13
380,타결,13
381,내용,13
382,동참,13
383,연말,13
384,지원,13
385,조사,13
386,배럴당,13
387,형성,13
388,집계,13
389,천연가스,13
390,경고,13
391,부과,13
392,원유수입량,13
393,여파,13
394,지수,13
395,허용,13
396,사망자,13
397,표명,13
398,리스크,13
399,달러환율,12
400,구체적,12
401,조정한,12
402,관세,12
403,앨버타,12
404,도출,12
405,파업,12
406,약속,12
407,개선,12
408,위축,12
409,입장,12
410,결과,12
411,최종,12
412,합의가,12
413,이동제한,12
414,증대,12
415,관련,12
416,공급부족,12
417,해당,12
418,접종,12
419,장관들,12
420,감산연장,12
421,공동기술위원회,12
422,요청,12
423,인용,12
424,위원회,12
425,개발,12
426,정제투입량,11
427,투자은행,11
428,사의,11
429,최대치,11
430,무역갈등,11
431,해협,11
432,전체,11
433,만명,11
434,고유가,11
435,변이,11
436,예측,11
437,해결,11
438,정책,11
439,합의안,11
440,폭발,11
441,위험,11
442,법안,11
443,단계,11
444,긴장,11
445,불가항력,11
446,시사,11
447,대선,11
448,증가폭,11
449,소식통,11
450,성명서,11
451,앙골라,11
452,가능,11
453,보수,11
454,추세,10
455,사용,10
456,델타,10
457,이스라엘,10
458,압력,10
459,작년,10
460,검토,10
461,시위,10
462,감소세,10
463,타이트,10
464,호르무즈,10
465,경제성장률,10
466,무역,10
467,점진적,10
468,관측,10
469,근접,10
470,성명,10
471,오미크론,10
472,추정,10
473,폭풍,10
474,한파,10
475,수에즈,10
476,수출항,10
477,복귀,10
478,경제지표,10
479,반대,10
480,다음,9
481,견고한,9
482,동기,9
483,한국,9
484,다수,9
485,중동지역,9
486,가동률,9
487,정상화,9
488,전문가들,9
489,열대성,9
490,감산완화,9
491,국무부,9
492,내전,9
493,연기,9
494,모니터링,9
495,실시,9
496,호조,9
497,사이,9
498,시리아,9
499,하락요인,9
