,index,0
0,oil,4952
1,energy,2075
2,prices,1583
3,stocks,1340
4,trump,1114
5,daily,1003
6,fed,976
7,market,956
8,new,941
9,china,898
10,us,863
11,saudi,826
12,investors,795
13,gas,789
14,inflation,738
15,trade,734
16,shot,732
17,wsj,727
18,markets,707
19,opec,680
20,take,663
21,deal,661
22,year,647
23,analysis,625
24,iran,610
25,journal,601
26,business,595
27,global,563
28,rise,553
29,announces,551
30,bank,532
31,says,532
32,price,528
33,bankruptcy,528
34,news,505
35,growth,498
36,economy,496
37,rate,489
38,supply,489
39,coronavirus,480
40,production,472
41,week,471
42,russia,466
43,higher,466
44,crude,436
45,high,432
46,back,430
47,cuts,422
48,billion,407
49,big,406
50,fall,405
51,demand,402
52,first,385
53,briefing,375
54,stock,368
55,rates,367
56,finance,364
57,record,360
58,quarter,360
59,debt,352
60,could,352
61,hit,351
62,venezuela,346
63,bond,345
64,arabia,342
65,economic,331
66,amid,328
67,may,327
68,million,326
69,fund,326
70,2021,325
71,asia,322
72,city,320
73,time,318
74,ahead,314
75,hits,311
76,world,309
77,uk,306
78,plan,304
79,companies,302
80,output,299
81,dollar,299
82,lower,298
83,shares,296
84,results,294
85,data,290
86,climate,287
87,canada,282
88,rally,280
89,top,280
90,gains,277
91,today,276
92,sanctions,270
93,since,268
94,earnings,267
95,wall,267
96,europe,266
97,morning,266
98,central,265
99,rises,265
100,report,262
101,fears,261
102,pe,254
103,street,253
104,shale,247
105,low,245
106,profit,244
107,raises,243
108,banks,242
109,biden,242
110,crisis,241
111,ecb,240
112,despite,239
113,cut,238
114,falls,237
115,chief,236
116,aramco,234
117,watch,232
118,end,230
119,reports,230
120,war,229
121,fuel,229
122,financial,224
123,president,224
124,talks,224
125,power,222
126,futures,219
127,tax,217
128,drop,216
129,2022,216
130,wealth,214
131,plans,214
132,natural,213
133,2020,208
134,company,208
135,industry,207
136,capital,207
137,bonds,207
138,dow,206
139,mexico,205
140,trading,205
141,warns,205
142,day,205
143,profits,204
144,shell,204
145,north,202
146,group,199
147,10,198
148,set,197
149,risk,196
150,rising,196
151,emerging,195
152,surge,194
153,pro,193
154,boost,192
155,sale,192
156,change,190
157,open,190
158,month,189
159,bp,189
160,real,188
161,cash,187
162,tech,187
163,two,186
164,pipeline,186
165,policy,184
166,adviser,183
167,rebound,183
168,logistics,182
169,sales,182
170,chinese,178
171,2018,178
172,fourth,178
173,recovery,177
174,seeks,177
175,pressure,177
176,government,176
177,years,176
178,funds,175
179,buy,175
180,putin,173
181,concerns,173
182,investment,172
183,fast,172
184,firms,171
185,push,169
186,one,169
187,chain,168
188,russian,168
189,faces,166
190,inc,166
191,ipo,166
192,brexit,164
193,next,162
194,exxon,162
195,sell,162
196,point,161
197,sees,160
198,11,160
199,korea,159
