,date,title,summary
0,2017.03.10.,"""아리가토 사우디 王""…수행원 1000명 이끌고 訪日","세계 최대 산유국의 국왕답게 1000명이 넘는 수행원을 이끌고 방문한다. 수행원들의 숙박을 위해 도쿄 시내 최고급 호텔 1200개 객실이 예약됐고, 최고급 리무진 400대가 준비됐다. 도쿄 리무진업계 관계자는..."
1,2017.03.13.,국제유가 배럴당 50달러 붕괴,OPEC 최대 산유국인 사우디아라비아는 미국 휴스턴에서 열린 국제에너지업계 회의(CERAweek)에서 “감산 합의에 무임승차해 생산량을 늘리는 행위를 가만히 두고 보지 않을 것”이라고 경고했다. 이에 따라 이달...
2,2017.03.13.,사우디에 日 경제 특구 세워진다,(사진출처=AP연합)[ 중동 최대 산유국인 사우디아라비아와 일본이 일본 기업의 사우디 진출을 촉진하기 위한 경제특구를 설립기로 했다. 13일 니혼게이자이신문에 따르면 아베 신조(安倍晋三) 일본 총리는 이날 방일 중인...
3,2017.03.13.,日·中 경쟁시켜… ‘脫석유 경제’ 발판 삼는 사우디,[서울신문] 사우디에 日경제특구 설치 합의… 내일 中으로 이동해 경협 논의 양국 투자·기술 노하우 끌어들여… 석유 의존서 新산업 추동력으로 ‘탈석유 경제’를 겨냥하고 있는 중동 최대 산유국 사우디아라비아에...
4,2017.03.14.,日·中 경쟁시켜… ‘脫석유 경제’ 발판 삼는 사우디,도쿄 AP 연합뉴스중동 최대 산유국 사우디아라비아가 일본과 중국을 경쟁시키면서 ‘탈석유 경제’에 시동을 걸었다. 지난달 27일 말레이시아를 필두로 이례적으로 긴 한 달간의 아시아순방을 시작한 사우디아라비아의...
5,2017.03.14.,'50달러' 깨진 유가 '급락' 경고등…'퍼펙트스톰' 오나,"[공급과잉 여전, 주요 산유국 감산합의도 흔들] 국제유가가 다시 배럴당 50달러 아래로 추락하면서... 그는 석유수출국기구(OPEC)와 OPEC에 속하지 않은 11개 산유국이 지난해 말 감축에 합의했지만 올해 기록적인 수준의..."
6,2017.03.14.,스코틀랜드 독립투표 재추진,"EU 최대 산유국 영국의 석유생산 90%는 스코틀랜드 지역에서 생산된다. 2014년 독립투표 당시 스코틀랜드 정부는 역내 석유매장 가치가 1조5000억파운드에 이를 것으로 추산했지만 그 때 유가는 배럴당 100달러, 지금은..."
7,2017.03.14.,국제유가 흔드는 손은 오펙? 셰일오일과 트럼프!,"산유국들 “감산” 인위적 방어에도 국제유가 배럴당 50달러 붕괴 위기 OPEC 감산 합의 기간연장 힘들듯... 산유국 카르텔이 감산을 통해 원유가격을 인위적으로 높이고 있지만, 그 반대편의 셰일오일 공급물량이..."
8,2017.03.14.,‘저유가 늪’에… 쿠웨이트도 9조원 국채,‘세계 최대의 산유국’ 사우디아라비아에 이어 쿠웨이트도 글로벌 채권 시장에서 80억 달러(약 9조 1744억원) 규모의 국채 발행에 나섰다고 월스트리트저널(WSJ) 등이 13일(현지시간) 보도했다. 세입의 95%를 원유...
9,2017.03.15.,"""미얀마 신화 잇자"" 포스코대우, 방글라데시 가스전 탐사권 획득","생산물분배계약은 탐사 성공 후 생산되는 원유와 가스 일부를 계약자가 투자비 회수 목적으로 우선 수취한 이후 잔여분을 정부와 계약자가 일정 비율로 나눠가지는 방식으로, 동남아 등 주요 산유국에서 보편적으로..."
