,date,title,summary
0,2021.08.10.,"에너지 전환시대, 투트랙 전략이 필요하다[기고/안세현]",그러나 자세히 들여다보면 각국의 에너지 대외 정책에서의 핵심은 여전히 석유 가스의 수요공급 안정성 확보에 맞춰져 있다. 특히 한반도를 둘러싼 동북아시아 국가들은 여전히 전통적 에너지원인 석유가스 수출입 시장...
1,2021.08.10.,GS 2분기 영업익 4855억… 전년比 208%↑,석유화학 제품 판매가 늘어난 영향으로 올해 상반기(1∼6월)에만 약 1조2000억 원의 영업이익 흑자를... 다만 1분기(1∼3월) 동절기 난방 수요 효과를 받던 발전자회사의 실적이 줄어들며 올 1분기 대비 ㈜GS의...
2,2021.08.10.,"2050 탄소중립 시나리오, 의미와 함의 [기고]",가장 적극적인 3안에서조차 2050년 최종 에너지 수요는 2018년의 3%에 불과한 680만 석유환산톤(TOE)밖에 줄이지 못하고 있다. 에너지 수요 자체의 감축이야말로 보다 치열하게 고민하고 실천해야 할 부분이다. 중요한 것은...
3,2021.08.10.,“수소차가 미래” 투자 나섰지만… 비싼 땅값·주민 반대 ‘이중고’ [심층기...,"서울의 경우 국회 충전소에 하루 평균 90대 이상 이용자가 몰렸지만, 올 3월 양재충전소 재개장으로 수요가... 시 관계자는 “주거 밀집지역의 경우 수소충전소, 액화석유가스(LPG)충전소 등에 대한 폭발위험성 우려에..."
4,2021.08.10.,"""제 2의 가스전 신화 도전""…포스코인터, 말레이 해상광구 탐사권 확보","포스코인터내셔널은 10일 말레이시아의 탐사광구 국제 입찰에서 말레이시아 국영 석유 기업... 포스코인터내셔널 관계자는 “미얀마에 집중돼 있던 에너지 사업 지도를 넓힐 기회”라며, “날이 갈수록 수요가..."
5,2021.08.10.,"포스코인터, 말레이시아서 ‘제2 가스전 성공 신화’ 도전",포스코인터내셔널은 10일 말레이시아의 탐사광구 국제 입찰에서 말레이시아 국영석유사인 ‘페트로나스’... 갈수록 수요가 증가하는 천연가스의 부존 가능성이 높은 광구를 확보해 회사의 신성장 동력이자 에너지...
6,2021.08.10.,델타 확산에 中수요 둔화···유가 2%대 하락,세계 2위 석유 소비국인 중국이 델타 변이 바이러스 확산으로 몸살을 앓으며 국제 유가가 3% 가까이... 하지만 중국은 코로나19가 발생하면 국민의 이동을 철저히 통제하는 ‘봉쇄 전략’을 펴 원유 수요에 더 큰 영향을...
7,2021.08.10.,델타변이로 원유 수요 또 줄어드나…국제유가 급락,"독일 코메르츠방크에 따르면 세계 2위의 석유 소비국인 중국은 7월 하루 970만 배럴을 수입해 4개월 연속 1000만 배럴을 밑돌았다. 코메르츠방크는 ""수요에 대한 우려가 다시 증가하고 있는 가운데 가격 하락세가..."
8,2021.08.10.,중국도 델타도 심상찮다…2.6% 주저앉은 유가,"석유 중개업체 PVM 애널리스트인 스티븐 브레녹은 ""경제성장은 여전히 정상 궤도를 달리고 있고, 올 하반기 내내 강한 석유 수요 증가세가 예상된다""고 말했다. 그는 이어 석유 공급 측면에서도 OPEC+가 신중한 자세를..."
9,2021.08.10.,코로나 대격변…삼성만 주력사업 10년째 그대로,인터넷 서비스 수요가 폭증하면서 비즈니스 모델의 전환 속도가 한층 더 빨라졌다. 스마트폰 시장의 오랜... 전자와 석유화학 중심이었던 LG그룹도 배터리와 전장으로 사업의 중심축을 옮기고 있다. 적자 늪에 빠진...
10,2021.08.10.,GS 2분기 영업익 4855억… 전년比 208%↑,석유화학 제품 판매가 늘어난 영향으로 올해 상반기(1∼6월)에만 약 1조2000억 원의 영업이익 흑자를... 다만 1분기(1∼3월) 동절기 난방 수요 효과를 받던 발전자회사의 실적이 줄어들며 올 1분기 대비 ㈜GS의...
11,2021.08.10.,"에너지 전환시대, 투트랙 전략이 필요하다[기고/안세현]",그러나 자세히 들여다보면 각국의 에너지 대외 정책에서의 핵심은 여전히 석유 가스의 수요공급 안정성 확보에 맞춰져 있다. 특히 한반도를 둘러싼 동북아시아 국가들은 여전히 전통적 에너지원인 석유가스 수출입 시장...
