,date,title,summary
0,2020.07.10.,인구 절반은 줄여야 모두가 행복해진다고? 악당 타노스는 몰랐다…'공허함의 ...,로마클럽 보고서는 30년 안에 석유가 고갈될 것이라고 예상했지만 채굴기술 발전 덕에 셰일오일 같은 새 에너지원이 발굴되면서 원유 생산량은 오히려 늘었다. 지난 4월엔 원유 수요가 급감할 것이란 전망에 유가가...
1,2020.07.10.,"[단독] 현대오일뱅크, 정제시설 증설 늦춘다","현대오일뱅크는 설비투자를 마치는 내년부터 값싼 원유 정제 부산물을 활용해 부가가치가 높은 화합물을 생산하게 된다. 이를 통해 연간 폴리에틸렌 75만t, 폴리프로필렌 40만t을 생산한다는 목표다. 기존 정유공정에서..."
2,2020.07.12.,"OPEC+, 내달부터 감산폭 줄여…하루 770만배럴 감산",실질적으로 원유 생산이 현재보다 늘어나는 셈이다. 글로벌 경제 회복에 대한 낙관적 전망에 따른 것이지만 일각에서는 OPEC+회원국 간 감산 합의가 제대로 이행되지 않는 현실을 반영한 결과로도 해석하고 있다....
3,2020.07.13.,"마이너스 유가 이제 없다? OPEC, '감산 완화' 추진","저비용 생산자들이 (현재의) 유가를 무너뜨리지 않으면서 어떻게 자신의 권리를 주장할 것인지가 논의의 핵심이 될 것""이라고 말했다. 시장에서는 올 하반기 원유수요가 회복될 것이라고 보고 있다. 전날..."
4,2020.07.13.,부동산·주식에만 돈 몰리고 실물 경제는 ‘돈맥경화’,코로나19 극복을 위해 정부와 중앙은행이 시장에 자금을 풀었지만 급증한 통화량이 산업 생산·소비보다... 서부텍사스산원유(WTI)는 최근 배럴당 40달러 선을 회복한 상태다. 윤여삼 메리츠증권 연구원은 “물가...
5,2020.07.13.,"""나도 배터리주인데···"" SK이노, 정유사업이 주가 '발목'",윤 연구위원은 “3·4분기에는 2·4분기에 반영됐던 주요 산유국의 원유 판매가격(OSP) 하락 효과가... 전우제 흥국증권 연구원은 “현재 LG화학의 20% 수준인 SK이노베이션의 배터리 생산능력(capa)이 2025년 이후에는...
6,2020.07.13.,[NH선물/국제상품시황] 코로나 재확산 우려...지난주 금값 9년來 최고,같은 기간 서부텍사스산원유(WTI) 7월물은 배럴당 0.1달러(0.25%) 내린 40.55달러에 마감했다. 코로나19 확산... 특히 소맥 선물은 러시아와 아르헨티나·프랑스 등 주요 생산국에서 소맥 생산·수출량이 줄어들 것으로...
7,2020.07.13.,수출 기지개…이달들어 -1.7%로 선방,"대비 원유가격 하락이 이어지면서 석유제품이 42.2% 줄었으며, 무선통신기기는 주요국 소비 부진과 국내 제조사 주요 제품의 부진 영향으로 수출액이 9.7% 감소했다. 자동차 부품은 여전히 주요국 생산과 소비 회복이..."
8,2020.07.14.,"석유화학업계, 수익성 하락에 투자 연기·철수 잇따라",현대오일뱅크는 경영전략 중 하나로 원유정제시설(CDU)을 증설을 검토했다. 하지만 올들어 코로나19 확산에... LG화학은 여수 산업단지에 있는 무수프탈산(PA) 생산라인 철수를 검토 중이다. PA는 플라스틱에 유연성을...
9,2020.07.14.,네이버 한성숙·현대차 정의선 선수로..한국판 뉴딜에 업계 “파격적 지원 필...,"데이터거래소는 정부가 디지털뉴딜의 ‘원유’로 꼽는 데이터 산업 육성을 위해 기업들이 한곳에 모여... 수소를 이용한 전기 생산은 미래 친환경 에너지 솔루션이며, 미래 핵심 산업으로 성장할 것”이라고 강조했다...."
10,2020.07.10.,인구 절반은 줄여야 모두가 행복해진다고? 악당 타노스는 몰랐다…'공허함의 ...,로마클럽 보고서는 30년 안에 석유가 고갈될 것이라고 예상했지만 채굴기술 발전 덕에 셰일오일 같은 새 에너지원이 발굴되면서 원유 생산량은 오히려 늘었다. 지난 4월엔 원유 수요가 급감할 것이란 전망에 유가가...
11,2020.07.10.,"[단독] 현대오일뱅크, 정제시설 증설 늦춘다","현대오일뱅크는 설비투자를 마치는 내년부터 값싼 원유 정제 부산물을 활용해 부가가치가 높은 화합물을 생산하게 된다. 이를 통해 연간 폴리에틸렌 75만t, 폴리프로필렌 40만t을 생산한다는 목표다. 기존 정유공정에서..."
12,2020.07.12.,"OPEC+, 내달부터 감산폭 줄여…하루 770만배럴 감산",실질적으로 원유 생산이 현재보다 늘어나는 셈이다. 글로벌 경제 회복에 대한 낙관적 전망에 따른 것이지만 일각에서는 OPEC+회원국 간 감산 합의가 제대로 이행되지 않는 현실을 반영한 결과로도 해석하고 있다....
13,2020.07.13.,"마이너스 유가 이제 없다? OPEC, '감산 완화' 추진","저비용 생산자들이 (현재의) 유가를 무너뜨리지 않으면서 어떻게 자신의 권리를 주장할 것인지가 논의의 핵심이 될 것""이라고 말했다. 시장에서는 올 하반기 원유수요가 회복될 것이라고 보고 있다. 전날..."
14,2020.07.13.,부동산·주식에만 돈 몰리고 실물 경제는 ‘돈맥경화’,코로나19 극복을 위해 정부와 중앙은행이 시장에 자금을 풀었지만 급증한 통화량이 산업 생산·소비보다... 서부텍사스산원유(WTI)는 최근 배럴당 40달러 선을 회복한 상태다. 윤여삼 메리츠증권 연구원은 “물가...
15,2020.07.13.,"""나도 배터리주인데···"" SK이노, 정유사업이 주가 '발목'",윤 연구위원은 “3·4분기에는 2·4분기에 반영됐던 주요 산유국의 원유 판매가격(OSP) 하락 효과가... 전우제 흥국증권 연구원은 “현재 LG화학의 20% 수준인 SK이노베이션의 배터리 생산능력(capa)이 2025년 이후에는...
16,2020.07.13.,[NH선물/국제상품시황] 코로나 재확산 우려...지난주 금값 9년來 최고,같은 기간 서부텍사스산원유(WTI) 7월물은 배럴당 0.1달러(0.25%) 내린 40.55달러에 마감했다. 코로나19 확산... 특히 소맥 선물은 러시아와 아르헨티나·프랑스 등 주요 생산국에서 소맥 생산·수출량이 줄어들 것으로...
17,2020.07.13.,수출 기지개…이달들어 -1.7%로 선방,"대비 원유가격 하락이 이어지면서 석유제품이 42.2% 줄었으며, 무선통신기기는 주요국 소비 부진과 국내 제조사 주요 제품의 부진 영향으로 수출액이 9.7% 감소했다. 자동차 부품은 여전히 주요국 생산과 소비 회복이..."
18,2020.07.14.,"석유화학업계, 수익성 하락에 투자 연기·철수 잇따라",현대오일뱅크는 경영전략 중 하나로 원유정제시설(CDU)을 증설을 검토했다. 하지만 올들어 코로나19 확산에... LG화학은 여수 산업단지에 있는 무수프탈산(PA) 생산라인 철수를 검토 중이다. PA는 플라스틱에 유연성을...
19,2020.07.14.,네이버 한성숙·현대차 정의선 선수로..한국판 뉴딜에 업계 “파격적 지원 필...,"데이터거래소는 정부가 디지털뉴딜의 ‘원유’로 꼽는 데이터 산업 육성을 위해 기업들이 한곳에 모여... 수소를 이용한 전기 생산은 미래 친환경 에너지 솔루션이며, 미래 핵심 산업으로 성장할 것”이라고 강조했다...."
20,2020.07.10.,인구 절반은 줄여야 모두가 행복해진다고? 악당 타노스는 몰랐다…'공허함의 ...,로마클럽 보고서는 30년 안에 석유가 고갈될 것이라고 예상했지만 채굴기술 발전 덕에 셰일오일 같은 새 에너지원이 발굴되면서 원유 생산량은 오히려 늘었다. 지난 4월엔 원유 수요가 급감할 것이란 전망에 유가가...
21,2020.07.10.,"[단독] 현대오일뱅크, 정제시설 증설 늦춘다","현대오일뱅크는 설비투자를 마치는 내년부터 값싼 원유 정제 부산물을 활용해 부가가치가 높은 화합물을 생산하게 된다. 이를 통해 연간 폴리에틸렌 75만t, 폴리프로필렌 40만t을 생산한다는 목표다. 기존 정유공정에서..."
22,2020.07.12.,"OPEC+, 내달부터 감산폭 줄여…하루 770만배럴 감산",실질적으로 원유 생산이 현재보다 늘어나는 셈이다. 글로벌 경제 회복에 대한 낙관적 전망에 따른 것이지만 일각에서는 OPEC+회원국 간 감산 합의가 제대로 이행되지 않는 현실을 반영한 결과로도 해석하고 있다....
23,2020.07.13.,"마이너스 유가 이제 없다? OPEC, '감산 완화' 추진","저비용 생산자들이 (현재의) 유가를 무너뜨리지 않으면서 어떻게 자신의 권리를 주장할 것인지가 논의의 핵심이 될 것""이라고 말했다. 시장에서는 올 하반기 원유수요가 회복될 것이라고 보고 있다. 전날..."
24,2020.07.13.,부동산·주식에만 돈 몰리고 실물 경제는 ‘돈맥경화’,코로나19 극복을 위해 정부와 중앙은행이 시장에 자금을 풀었지만 급증한 통화량이 산업 생산·소비보다... 서부텍사스산원유(WTI)는 최근 배럴당 40달러 선을 회복한 상태다. 윤여삼 메리츠증권 연구원은 “물가...
25,2020.07.13.,"""나도 배터리주인데···"" SK이노, 정유사업이 주가 '발목'",윤 연구위원은 “3·4분기에는 2·4분기에 반영됐던 주요 산유국의 원유 판매가격(OSP) 하락 효과가... 전우제 흥국증권 연구원은 “현재 LG화학의 20% 수준인 SK이노베이션의 배터리 생산능력(capa)이 2025년 이후에는...
26,2020.07.13.,[NH선물/국제상품시황] 코로나 재확산 우려...지난주 금값 9년來 최고,같은 기간 서부텍사스산원유(WTI) 7월물은 배럴당 0.1달러(0.25%) 내린 40.55달러에 마감했다. 코로나19 확산... 특히 소맥 선물은 러시아와 아르헨티나·프랑스 등 주요 생산국에서 소맥 생산·수출량이 줄어들 것으로...
27,2020.07.13.,수출 기지개…이달들어 -1.7%로 선방,"대비 원유가격 하락이 이어지면서 석유제품이 42.2% 줄었으며, 무선통신기기는 주요국 소비 부진과 국내 제조사 주요 제품의 부진 영향으로 수출액이 9.7% 감소했다. 자동차 부품은 여전히 주요국 생산과 소비 회복이..."
28,2020.07.14.,"석유화학업계, 수익성 하락에 투자 연기·철수 잇따라",현대오일뱅크는 경영전략 중 하나로 원유정제시설(CDU)을 증설을 검토했다. 하지만 올들어 코로나19 확산에... LG화학은 여수 산업단지에 있는 무수프탈산(PA) 생산라인 철수를 검토 중이다. PA는 플라스틱에 유연성을...
29,2020.07.14.,네이버 한성숙·현대차 정의선 선수로..한국판 뉴딜에 업계 “파격적 지원 필...,"데이터거래소는 정부가 디지털뉴딜의 ‘원유’로 꼽는 데이터 산업 육성을 위해 기업들이 한곳에 모여... 수소를 이용한 전기 생산은 미래 친환경 에너지 솔루션이며, 미래 핵심 산업으로 성장할 것”이라고 강조했다...."
30,2020.07.10.,인구 절반은 줄여야 모두가 행복해진다고? 악당 타노스는 몰랐다…'공허함의 ...,로마클럽 보고서는 30년 안에 석유가 고갈될 것이라고 예상했지만 채굴기술 발전 덕에 셰일오일 같은 새 에너지원이 발굴되면서 원유 생산량은 오히려 늘었다. 지난 4월엔 원유 수요가 급감할 것이란 전망에 유가가...
31,2020.07.10.,"[단독] 현대오일뱅크, 정제시설 증설 늦춘다","현대오일뱅크는 설비투자를 마치는 내년부터 값싼 원유 정제 부산물을 활용해 부가가치가 높은 화합물을 생산하게 된다. 이를 통해 연간 폴리에틸렌 75만t, 폴리프로필렌 40만t을 생산한다는 목표다. 기존 정유공정에서..."
32,2020.07.12.,"OPEC+, 내달부터 감산폭 줄여…하루 770만배럴 감산",실질적으로 원유 생산이 현재보다 늘어나는 셈이다. 글로벌 경제 회복에 대한 낙관적 전망에 따른 것이지만 일각에서는 OPEC+회원국 간 감산 합의가 제대로 이행되지 않는 현실을 반영한 결과로도 해석하고 있다....
33,2020.07.13.,"마이너스 유가 이제 없다? OPEC, '감산 완화' 추진","저비용 생산자들이 (현재의) 유가를 무너뜨리지 않으면서 어떻게 자신의 권리를 주장할 것인지가 논의의 핵심이 될 것""이라고 말했다. 시장에서는 올 하반기 원유수요가 회복될 것이라고 보고 있다. 전날..."
34,2020.07.13.,부동산·주식에만 돈 몰리고 실물 경제는 ‘돈맥경화’,코로나19 극복을 위해 정부와 중앙은행이 시장에 자금을 풀었지만 급증한 통화량이 산업 생산·소비보다... 서부텍사스산원유(WTI)는 최근 배럴당 40달러 선을 회복한 상태다. 윤여삼 메리츠증권 연구원은 “물가...
35,2020.07.13.,"""나도 배터리주인데···"" SK이노, 정유사업이 주가 '발목'",윤 연구위원은 “3·4분기에는 2·4분기에 반영됐던 주요 산유국의 원유 판매가격(OSP) 하락 효과가... 전우제 흥국증권 연구원은 “현재 LG화학의 20% 수준인 SK이노베이션의 배터리 생산능력(capa)이 2025년 이후에는...
36,2020.07.13.,[NH선물/국제상품시황] 코로나 재확산 우려...지난주 금값 9년來 최고,같은 기간 서부텍사스산원유(WTI) 7월물은 배럴당 0.1달러(0.25%) 내린 40.55달러에 마감했다. 코로나19 확산... 특히 소맥 선물은 러시아와 아르헨티나·프랑스 등 주요 생산국에서 소맥 생산·수출량이 줄어들 것으로...
