,date,title,summary
0,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
1,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
2,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
3,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
4,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
5,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
6,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
7,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
8,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
9,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
10,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
11,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
12,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
13,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
14,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
15,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
16,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
17,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
18,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
19,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
20,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
21,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
22,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
23,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
24,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
25,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
26,2018.08.27.,中 ‘홍색 전략’으로 자국산 비중 높여… 덩치 작은 한국기업들 흔들,"중국 정부는 2016년 발표한 ‘13차 5개년 규획(계획)’에서 이전까지 추진했던 양적 성장 대신 2020년까지 산업 구조조정, 석탄 및 셰일가스로의 원료 다변화와 함께 수입에 의존했던 기초유분 및 중간원료 설비 증설을..."
27,2018.09.07.,"여천NCC, 3년 만에1500억 회사채 발행",나프타분해설비(NCC)를 통해 기초유분과 중간원료를 생산하고 있다. 한화케미칼과 대림산업이 설립 때부터 지분 50%씩을 나눠 갖고 공동 경영하고 있다. 2014년 1297억원이었던 여천NCC의 영업이익은 지난해...
