,date,title,summary
0,"March 10, 2018",‘ISIS Is Coming!’ How a French Company Pushed the Limits in War-Torn Syria,The global cement giant Lafarge is facing accusations that it paid ISIS and other militant groups and put its employees at risk to preserve business in war-torn Syria.
1,"March 10, 2018",Trump Rollbacks Target Offshore Rules ‘Written With Human Blood’,Drillers seek to gain from an easing of Obama-era safety and environmental regulations that were adopted after the Deepwater Horizon disaster killed 11 people.
2,"March 16, 2018","Li Ka-shing, Hong Kong’s Richest Man, Will Retire, Ending an Era","The 89-year-old, who got his start selling plastic flowers, built his conglomerate just as Hong Kong was becoming a center of capitalism and the entry point into China."
3,"March 21, 2018",Auction of Oil Drilling Tracts in Gulf Draws Tepid Interest,"Companies bid on only 1 percent of the acreage offered, a setback for Trump administration efforts to revive offshore production."
4,"March 22, 2018","U.S. Exempts Some Allies From Tariffs, but May Opt for Quotas","In a shift in strategy, the White House may impose import quotas to prevent too much foreign metal from flooding into the United States."
5,"March 22, 2018",Citigroup Sets Restrictions on Gun Sales by Business Partners,"The banking and financial services giant is the first on Wall Street to create gun control policies after the massacre in Parkland, Fla."
6,"March 22, 2018",Asian Stocks Tumble as Sell-Off Over Trade Fears Continues,"A brewing trade war between China and the United States sent markets reeling across Asia on Friday, and Europe looked ready to follow suit."
7,"March 23, 2018","Wall St. Closes Lower, as a U.S.-China Trade War Looms","Friday’s session ended the S.&P. 500’s worst week in two years, and followed slumping sessions in global markets in Europe and Asia."
8,"March 28, 2018",$9.5 Billion Purchase by Concho Is Latest Sign of West Texas Oil Boom,"The acquisition will make Concho Resources the biggest producer in the oil-rich Permian Basin, where production risks overwhelming pipeline capacity."
9,"March 29, 2018",Brazilian Auction Draws Oil Companies Back to Offshore Drilling,"Deepwater projects fell out of favor as oil prices dropped and costs remained prohibitive, but winning bids totaling more than $2.4 billion were hailed as a success in Brazil."
10,"April 5, 2018",E.P.A. Officials Sidelined After Questioning Scott Pruitt,"At least five agency officials were reassigned or demoted, or requested new jobs after raising concerns about the administrator’s security demands and spending."
11,"April 9, 2018",Russian Markets Reel After U.S. Imposes New Sanctions,"Investors hammered stocks, bonds and the ruble Monday, making life a little more expensive for Russian companies and consumers."
12,"March 10, 2018",What’s the World’s Fastest-Growing Economy? Ghana Contends for the Crown,"Mired in poverty not long ago, the West African nation’s economic growth is on track to outpace India’s. But with oil driving much of the expansion, experts worry about the so-called resource curse."
13,"March 16, 2018",Wine and Diamonds: How North Korea Dodges Sanctions,"With smuggled luxury goods and illicitly purchased oil, Kim Jong-un’s government maneuvers around measures meant to inhibit its nuclear program."
14,"March 17, 2018","Saudi Arabia Lightens Up, Building Entertainment Industry From Scratch","The kingdom hopes that building an entertainment industry for its 29 million people will help its struggling, oil-based economy and make life more enjoyable."
15,"March 19, 2018",White House Bans Venezuela’s Digital Currency and Expands Sanctions,"The Trump administration also blacklisted four associates of President Nicolás Maduro, pressuring a government it has accused of graft and repression."
16,"March 27, 2018","For as Little as $3 a Vote, Egyptians Trudge to Election Stations","With no real challenger in this week’s election, President Abdel Fattah el-Sisi is cajoling, coercing and paying voters to ensure a credible turnout."
17,"April 6, 2018","Oprah, Rupert Murdoch, Harvard: Saudi Prince’s U.S. Tour","The heir to Saudi Arabia’s throne has been on an extraordinary tour of the United States, seeking investment and trying to change perceptions of the opaque, conservative kingdom."
