,date,title,summary
0,"November 9th, 2017",Transcript: Cybersecurity – Personal Privacy in a Digital World,
1,"October 14th, 2017",Opinion | Trump is dealing with Iran the same way he always dealt with business,He's leaving it crippled but not dead.
2,"October 31st, 2017",Analysis | Four things you should know about food security in Africa,It’s Africa Day for Food and Nutrition Security and here’s what you need to know.
3,"October 11th, 2017","Analysis | Interior Secretary Zinke’s claim that the U.S. has struggled to produce ‘low-cost, abundant and reliable energy’","Interior Secretary Ryan Zinke laments the current state of U.S. energy production, but the U.S. is in the midst of an energy boom. "
4,"November 2nd, 2017",Analysis | Kuwait just dissolved its cabinet. Here’s why.,The opposition coalition opposes Kuwait's austerity plans.
5,"October 13th, 2017",Analysis | The Iran nuclear deal isn’t so great — for Iran,Countries that get to retain some of their nuclear technology actually pay a heavy price.
6,"November 1st, 2017",Analysis | President Trump’s claim that he ‘turned West Virginia around’ by cutting regulations on mining,"Trump tries to take credit for West Virginia's economic growth, but it's undeserved. "
7,"October 23rd, 2017",Analysis | EPA Administrator Scott Pruitt’s claim that the U.S. is ‘leading the world’ in ‘C02 footprint’ reductions,"Pruitt said the U.S. is leading the world in reducing carbon emissions, but he cleverly misrepresents the data to support his claim. "
8,"November 8th, 2017",Analysis | Why Lebanon’s prime minister resigned,It’s not only about Iranian-Saudi rivalry.
9,"October 27th, 2017",Analysis | Why do nations invest in international aid? Ask Norway. And China.,Different nations approach it very differently. 
10,"October 25th, 2017",Analysis | We finally know the results of Papua New Guinea’s elections,Counting votes under a preferential voting system in a diverse society can take a long time. 
