,date,title,summary
0,"December 5th, 2018",France’s protesters are part of a global backlash against climate-change taxes,"Leaders in the United States, Canada, Australia and elsewhere have run into similar opposition."
1,"December 3rd, 2018",Philippines reopened ‘paradise’ after six-month cleanup. So why isn’t everyone happy?,"Boracay is trying to get a handle on the party scene, crowding and pollution that marred the popular tourist island. Some wonder if the makeover is sustainable. "
2,"November 18th, 2018","‘Life is miserable’: Even when there’s food in South Sudan, many can’t afford it",Hundreds of thousands of people in the world’s newest country are at risk of starvation.
3,"November 30th, 2018",Iran’s new anti-corruption courts have begun sending businessmen to the gallows,Iran’s Supreme Leader set up the courts amid public anger over an economy buffeted by U.S. sanctions.
4,"November 18th, 2018","Fresh sanctions on Iran are already choking off medicine imports, economists say","Although the U.S. still allows humanitarian goods, foreign companies are skittish about doing business with Iranian firms."
5,"November 13th, 2018",U.S. says audio recording of Khashoggi killing does not implicate Saudi crown prince,"National security adviser John Bolton said the recording, in which someone refers to a “boss” in Saudi Arabia, does not provide a link to Mohammed bin Salman."
6,"December 5th, 2018","In the Middle East, Russia is back","Buoyed by success in Syria, Vladimir Putin is cultivating relationships across the spectrum of the region’s divides — and ensuring a long-term Russian role in the process."
7,"December 7th, 2018","Oil prices spike, stocks plummet as uncertainty roils global markets","OPEC agrees to cut production, while a weak jobs report and worries about trade send investors fleeing stocks."
8,"November 29th, 2018",Analysis | Why lower oil prices might make trouble for Trump,"Lower oil prices are good for America, but they aren’t always good for the Trump-supporting parts of America."
9,"November 21st, 2018","Trump celebrates low oil prices, tweeting ‘Thank you to Saudi Arabia’","Oil prices are down more than 20 percent since October — but that swift decline cuts both ways: Good for drivers at the pump, but challenging for companies watching their share prices tank"
10,"November 15th, 2018",The good and bad of the steep drop in oil prices,"It bodes well for consumers, but some experts worry that it signals trouble in the broader economy."
11,"December 6th, 2018",Dow stages comeback from deep losses fueled by uncertainty of U.S.-China trade deal,"U.S. stocks suffered an across-the-board rout for most of Thursday. Oil prices plunged, and omens of a recession emerged in the bond market."
12,"November 13th, 2018",U.S. stocks skid again on renewed fears that tech sector has run out of steam,"The Nasdaq, which has been in a pressure cooker for weeks, fell another 2.8 percent, dragging down the broader market."
13,"December 7th, 2018",Perspective | The hard truth for investors: Stocks fall because they fall,Pro tip: Save yourself the time and aggravation of trying to figure out why the Dow just slid 500 points.
14,"December 3rd, 2018","Dow surges, global markets rally on investor optimism following U.S.-China trade truce",President Trump and Xi Jinping will let the trade war cool for a few months as they try to negotiate an agreement.
15,"November 20th, 2018",Tech giants that lifted stock market to historic highs now leading the way down,A weeks-long swoon in tech stocks deepens and drags down energy and retail sectors.
16,"November 27th, 2018",Why the trade deficit is getting bigger — despite all of Trump’s promises,The strong dollar is hurting U.S. exports and eroding Trump’s China tariffs — and some labor and business groups are urging the president to act.
17,"December 6th, 2018",Analysis | Qatar will leave OPEC. Here’s what this means.,"OPEC generally weathers regional tensions, but is it past its prime? "
18,"November 23rd, 2018","Trump brushes aside CIA assertion that crown prince ordered killing, defends him and Saudi Arabia",The president’s comments came after the agency declared with high confidence that Mohammed bin Salman had ordered the death of journalist Jamal Khashoggi.
19,"November 29th, 2018","Trump’s rules of engagement: Boasting, spinning and running out the clock",An interview with The Washington Post this week illustrated the president’s tactics in attempting to dodge difficult questions.
20,"November 26th, 2018",Trump called himself ‘President T.’ The Internet filled in the rest.,"""Thank you President T,"" President T wrote on Twitter."
21,"November 23rd, 2018",‘HAPPY THANKSGIVING TO ALL!’: Rhetorical bedlam erupts as President Trump speaks to the world from Mar-a-Lago,"The president’s morning announcements mixed Thanksgiving tidings, grievance and sparring with familiar foes."
22,"November 22nd, 2018",Analysis | Russia redux? Trump and congressional Republicans are at odds over how to punish Saudi Arabia.,Why it may be more complicated for congressional Republicans to punish Saudi Arabia over Trump’s objections than it was for them to sanction Russia.
23,"November 21st, 2018","Analysis | For Trump, the bottom line on Saudi Arabia takes precedence over human rights","The president’s declaration that he won’t hold Riyadh accountable for the killing of Jamal Khashoggi shows his transactional, personalized approach to foreign affairs."
24,"November 21st, 2018","Analysis | Trump’s statement smearing Jamal Khashoggi and giving Saudi Arabia a pass, annotated","In the exclamation-point-laden statement released before the CIA report is due, Trump makes clear that he's not going to punish Saudi royalty for Khashoggi's killing."
25,"November 21st, 2018",Analysis | Almost everything Trump just said about Saudi Arabia and Jamal Khashoggi is wrong or overly simplistic,There are legitimate strategic interests here. But Trump overstates and oversimplifies basically all of his justifications for giving the Saudis a pass —  and ignores the counter-arguments.
26,"December 6th, 2018",Analysis | Mohammed bin Salman’s comeback tour,"For some countries in the Middle East and North Africa, money speaks louder than murder."
27,"December 5th, 2018",Analysis | Yemen’s looming famine has been a long time coming,Concrete action is needed to protect the port of Hodeidah and end the war to prevent the worst famine in a lifetime.
28,"November 28th, 2018",Analysis | Fact-checking President Trump’s interview with The Washington Post,Here's a guide to nine false or misleading statements made by the president in his interview with The Washington Post
29,"November 28th, 2018","Analysis | President Trump’s full Washington Post interview transcript, annotated",The president sat down in the Oval Office with The Post's Philip Rucker and Josh Dawsey. Here are the highlights.
30,"November 28th, 2018","Trump slams Fed chair, questions climate change and threatens to cancel Putin meeting in wide-ranging interview with The Post","The president said of the central bank: “They’re making a mistake because I have a gut, and my gut tells me more sometimes than anybody else’s brain can ever tell me.”"
31,"November 22nd, 2018",Killing of Khashoggi tests U.S. defense industry as backlash builds on Capitol Hill,Growing bipartisan support for legislation to curtail arms sales to Saudi Arabia marks a rare setback for one of the most influential lobbies in Washington.
32,"November 21st, 2018","Trump calls Saudi Arabia a ‘great ally,’ discounts crown prince’s responsibility for Khashoggi’s death","In a statement, the president said, “we may never know all the facts” surrounding the journalist’s killing."
33,"December 7th, 2018",Analysis | How to enact policies that are effective in slowing climate change,The 'California model' offers a way past the shoals of lobbyist influence. 
34,"December 1st, 2018","‘It’s hard for him to think straight from the bottom of the bottle,’ Zinke says of senior House Democrat","The interior secretary lashed out at Rep. Raúl Grijalva, the Arizona Democrat who called for his resignation Friday."
35,"November 28th, 2018",Analysis | Timeline: What it would mean if Manafort and Assange met in 2016,A dramatic new report by the Guardian doesn't answer as many questions as might be assumed.
36,"November 21st, 2018",Interior Secretary Ryan Zinke remains defiant amid ethics probes,His past week and a half was taken up with touring California’s wildfire zones and with horseback and motorcycle riding.
37,"November 13th, 2018",Analysis | Trump’s itchy Twitter finger: His latest false claims ,"The president's Twitter feed is often inaccurate, but he has topped himself in recent days with tweets on forest fires, elections and stocks."
