"날짜","종가","오픈","고가","저가","변동 %"
"2022년 02월 10일","2.043","1.939","2.056","1.923","5.04%"
"2022년 02월 09일","1.945","1.954","1.958","1.909","-1.01%"
"2022년 02월 08일","1.965","1.921","1.970","1.921","2.37%"
"2022년 02월 07일","1.919","1.908","1.939","1.896","0.48%"
"2022년 02월 06일","1.910","1.918","1.918","1.910","-0.28%"
"2022년 02월 04일","1.916","1.834","1.936","1.809","4.34%"
"2022년 02월 03일","1.836","1.759","1.847","1.757","3.64%"
"2022년 02월 02일","1.771","1.798","1.811","1.743","-1.29%"
"2022년 02월 01일","1.795","1.787","1.820","1.739","0.61%"
"2022년 01월 31일","1.784","1.789","1.816","1.770","-0.39%"
"2022년 01월 30일","1.791","1.787","1.791","1.787","0.70%"
"2022년 01월 28일","1.778","1.808","1.854","1.771","-1.36%"
"2022년 01월 27일","1.803","1.851","1.862","1.782","-3.72%"
"2022년 01월 26일","1.873","1.778","1.880","1.765","5.44%"
"2022년 01월 25일","1.776","1.769","1.797","1.728","0.00%"
"2022년 01월 24일","1.776","1.772","1.785","1.707","0.20%"
"2022년 01월 23일","1.772","1.767","1.772","1.767","0.10%"
"2022년 01월 21일","1.770","1.791","1.801","1.733","-2.24%"
"2022년 01월 20일","1.811","1.863","1.870","1.804","-2.31%"
"2022년 01월 19일","1.854","1.873","1.902","1.822","-1.14%"
"2022년 01월 18일","1.875","1.807","1.881","1.807","3.67%"
"2022년 01월 17일","1.809","1.813","1.813","1.809","0.89%"
"2022년 01월 14일","1.793","1.720","1.795","1.706","5.43%"
"2022년 01월 13일","1.701","1.748","1.760","1.694","-2.92%"
"2022년 01월 12일","1.752","1.743","1.753","1.711","0.31%"
"2022년 01월 11일","1.746","1.769","1.785","1.737","-0.50%"
"2022년 01월 10일","1.755","1.767","1.808","1.750","-0.59%"
"2022년 01월 09일","1.765","1.765","1.765","1.765","0.00%"
"2022년 01월 07일","1.765","1.725","1.801","1.711","2.16%"
"2022년 01월 06일","1.728","1.700","1.753","1.686","1.66%"
"2022년 01월 05일","1.700","1.656","1.712","1.640","3.09%"
"2022년 01월 04일","1.649","1.617","1.686","1.614","0.75%"
"2022년 01월 03일","1.637","1.531","1.642","1.529","8.26%"
"2022년 01월 02일","1.512","1.512","1.512","1.512","0.00%"
"2021년 12월 31일","1.512","1.512","1.526","1.491","0.35%"
"2021년 12월 30일","1.507","1.551","1.553","1.501","-3.21%"
"2021년 12월 29일","1.556","1.477","1.560","1.470","4.87%"
"2021년 12월 28일","1.484","1.479","1.491","1.455","0.47%"
"2021년 12월 27일","1.477","1.486","1.498","1.476","-0.57%"
"2021년 12월 26일","1.486","1.489","1.489","1.486","-0.46%"
"2021년 12월 23일","1.493","1.457","1.501","1.452","2.71%"
"2021년 12월 22일","1.453","1.450","1.486","1.448","-0.93%"
"2021년 12월 21일","1.467","1.421","1.498","1.414","2.75%"
"2021년 12월 20일","1.428","1.375","1.429","1.353","3.70%"
"2021년 12월 19일","1.377","1.380","1.380","1.375","-2.17%"
"2021년 12월 17일","1.407","1.424","1.434","1.372","-1.19%"
"2021년 12월 16일","1.424","1.462","1.482","1.412","-2.34%"
"2021년 12월 15일","1.458","1.443","1.484","1.424","1.19%"
"2021년 12월 14일","1.441","1.426","1.472","1.419","1.92%"
"2021년 12월 13일","1.414","1.494","1.508","1.412","-5.25%"
"2021년 12월 12일","1.492","1.482","1.492","1.482","0.70%"
"2021년 12월 10일","1.482","1.501","1.520","1.451","-1.02%"
"2021년 12월 09일","1.497","1.521","1.535","1.472","-2.02%"
"2021년 12월 08일","1.528","1.472","1.537","1.427","3.12%"
"2021년 12월 07일","1.482","1.429","1.487","1.427","3.45%"
"2021년 12월 06일","1.433","1.378","1.443","1.370","3.80%"
"2021년 12월 05일","1.380","1.378","1.380","1.378","1.74%"
"2021년 12월 03일","1.356","1.431","1.472","1.335","-6.09%"
"2021년 12월 02일","1.444","1.421","1.466","1.409","2.89%"
"2021년 12월 01일","1.404","1.477","1.506","1.402","-3.61%"
"2021년 11월 30일","1.456","1.511","1.524","1.412","-3.06%"
"2021년 11월 29일","1.502","1.531","1.565","1.497","-1.89%"
"2021년 11월 28일","1.531","1.541","1.541","1.531","3.34%"
"2021년 11월 26일","1.482","1.598","1.601","1.473","-7.18%"
"2021년 11월 25일","1.596","1.601","1.603","1.596","-2.83%"
"2021년 11월 24일","1.643","1.665","1.693","1.627","-1.96%"
"2021년 11월 23일","1.676","1.624","1.684","1.615","2.65%"
"2021년 11월 22일","1.632","1.560","1.634","1.546","4.75%"
"2021년 11월 21일","1.558","1.560","1.560","1.558","0.67%"
"2021년 11월 19일","1.548","1.587","1.608","1.515","-2.48%"
"2021년 11월 18일","1.587","1.599","1.613","1.574","0.11%"
