발표일	시간	발표	예측	이전	
2022년 02월 19일	03:00	 	 	613	
2022년 02월 12일	03:00	635	 	613	
2022년 02월 05일	03:00	613	 	610	
2022년 01월 29일	03:00	610	 	604	
2022년 01월 22일	03:00	604	 	601	
2022년 01월 15일	03:00	601	 	588	
2022년 01월 08일	03:00	588	 	586	
2022년 01월 01일	03:00	586	 	586	
2021년 12월 24일	03:00	586	 	579	
2021년 12월 18일	03:00	579	 	576	
2021년 12월 11일	03:00	576	 	569	
2021년 12월 04일	03:00	569	 	569	
2021년 11월 25일	03:00	569	 	563	
2021년 11월 20일	03:00	563	 	556	
2021년 11월 13일	03:00	556	 	550	
2021년 11월 06일	02:00	550	548	544	
2021년 10월 30일	02:00	544	 	542	
2021년 10월 23일	02:00	542	 	543	
2021년 10월 16일	02:00	543	540	533	
2021년 10월 09일	02:00	533	 	528	
2021년 10월 02일	02:00	528	 	521	
2021년 09월 25일	02:00	521	 	512	
2021년 09월 18일	02:00	512	 	503	
2021년 09월 11일	02:00	503	 	497	
2021년 09월 04일	02:00	497	 	508	
2021년 08월 28일	02:00	508	 	503	
2021년 08월 21일	02:00	503	 	500	
2021년 08월 14일	02:00	500	 	491	
2021년 08월 07일	02:00	491	 	488	
2021년 07월 31일	02:00	488	 	491	
2021년 07월 24일	02:00	491	 	484	
2021년 07월 17일	02:00	484	 	479	
2021년 07월 10일	02:00	479	 	475	
2021년 07월 03일	02:00	475	 	470	
2021년 06월 26일	02:00	470	 	470	
2021년 06월 19일	02:00	470	 	461	
2021년 06월 12일	02:00	461	 	456	
2021년 06월 05일	02:00	456	 	457	
2021년 05월 29일	02:00	457	 	455	
2021년 05월 22일	02:00	455	 	453	
2021년 05월 15일	02:00	453	 	448	
2021년 05월 08일	02:00	448	 	440	
2021년 05월 01일	02:00	440	 	438	
2021년 04월 24일	02:00	438	 	439	
2021년 04월 17일	02:00	439	 	432	
2021년 04월 10일	02:00	432	 	430	
2021년 04월 02일	02:00	430	 	417	
2021년 03월 27일	02:00	417	 	411	
2021년 03월 20일	02:00	411	 	402	
2021년 03월 13일	03:00	402	 	403	
2021년 03월 06일	03:00	403	 	402	
2021년 02월 27일	03:00	402	 	397	
2021년 02월 20일	03:00	397	 	397	
2021년 02월 13일	03:00	397	 	392	
2021년 02월 06일	03:00	392	 	384	
2021년 01월 30일	03:00	384	 	378	
