발표일	시간	발표	예측	이전	
2022년 02월 17일	00:30	1.121M	-1.572M	-4.756M	
2022년 02월 10일	00:30	-4.756M	0.369M	-1.046M	
2022년 02월 03일	00:30	-1.046M	1.525M	2.377M	
2022년 01월 27일	00:30	2.377M	-0.728M	0.515M	
2022년 01월 21일	01:00	0.515M	-0.938M	-4.553M	
2022년 01월 13일	00:30	-4.553M	-1.904M	-2.144M	
2022년 01월 06일	00:30	-2.144M	-3.283M	-3.576M	
2021년 12월 30일	00:30	-3.576M	-3.233M	-4.715M	
2021년 12월 23일	00:30	-4.715M	-2.750M	-4.584M	
2021년 12월 16일	00:30	-4.584M	-2.082M	-0.240M	
2021년 12월 09일	00:30	-0.240M	-1.705M	-0.910M	
2021년 12월 02일	00:30	-0.910M	-1.237M	1.017M	
2021년 11월 25일	00:30	1.017M	-0.481M	-2.101M	
2021년 11월 18일	00:30	-2.101M	1.398M	1.001M	
2021년 11월 11일	00:30	1.001M	2.125M	3.291M	
2021년 11월 03일	23:30	3.291M	2.225M	4.267M	
2021년 10월 27일	23:30	4.267M	1.914M	-0.431M	
2021년 10월 20일	23:30	-0.431M	1.857M	6.088M	
2021년 10월 15일	00:00	6.088M	0.702M	2.346M	
2021년 10월 06일	23:30	2.346M	-0.418M	4.578M	
2021년 09월 29일	23:30	4.578M	-1.652M	-3.481M	
2021년 09월 22일	23:30	-3.481M	-2.440M	-6.422M	
2021년 09월 15일	23:30	-6.422M	-3.544M	-1.529M	
2021년 09월 10일	00:00	-1.529M	-4.612M	-7.169M	
2021년 09월 01일	23:30	-7.169M	-3.088M	-2.979M	
2021년 08월 25일	23:30	-2.979M	-2.683M	-3.234M	
2021년 08월 18일	23:30	-3.234M	-1.055M	-0.447M	
2021년 08월 11일	23:30	-0.447M	-1.271M	3.626M	
2021년 08월 04일	23:30	3.626M	-3.102M	-4.089M	
2021년 07월 28일	23:30	-4.089M	-2.928M	2.108M	
2021년 07월 21일	23:30	2.108M	-4.466M	-7.897M	
2021년 07월 14일	23:30	-7.897M	-4.359M	-6.866M	
2021년 07월 09일	00:00	-6.866M	-4.033M	-6.718M	
2021년 06월 30일	23:30	-6.718M	-4.686M	-7.614M	
2021년 06월 23일	23:30	-7.614M	-3.942M	-7.355M	
2021년 06월 16일	23:30	-7.355M	-3.290M	-5.241M	
2021년 06월 09일	23:30	-5.241M	-2.036M	-5.080M	
2021년 06월 04일	00:00	-5.080M	-2.443M	-1.662M	
2021년 05월 26일	23:30	-1.662M	-1.050M	-0.426M	
2021년 05월 19일	23:30	1.321M	1.623M	-0.427M	
2021년 05월 12일	23:30	-0.427M	-2.817M	-7.990M	
2021년 05월 05일	23:30	-7.990M	-2.346M	0.090M	
2021년 04월 28일	23:30	0.090M	0.659M	0.594M	
2021년 04월 21일	23:30	0.594M	-2.975M	-5.889M	
2021년 04월 14일	23:30	-5.889M	-2.889M	-3.522M	
2021년 04월 07일	23:30	-3.522M	-1.436M	-0.876M	
2021년 03월 31일	23:30	-0.876M	0.107M	1.912M	
2021년 03월 24일	23:30	1.912M	-0.272M	2.396M	
2021년 03월 17일	23:30	2.396M	2.964M	13.798M	
2021년 03월 11일	00:30	13.798M	0.816M	21.563M	
2021년 03월 04일	00:30	21.563M	-0.928M	1.285M	
2021년 02월 25일	00:30	1.285M	-5.190M	-7.258M	
2021년 02월 19일	01:00	-7.258M	-2.429M	-6.644M	
2021년 02월 11일	00:30	-6.644M	0.985M	-0.994M	
2021년 02월 04일	00:30	-0.994M	0.446M	-9.910M	
2021년 01월 28일	00:30	-9.910M	0.430M	4.351M	
2021년 01월 23일	01:00	4.351M	-1.167M	-3.247M	
2021년 01월 14일	00:30	-3.247M	-2.266M	-8.010M	
2021년 01월 07일	00:30	-8.010M	-2.133M	-6.065M	
2020년 12월 31일	00:30	-6.065M	-2.583M	-0.562M	
2020년 12월 24일	00:30	-0.562M	-3.186M	-3.135M	
2020년 12월 17일	00:30	-3.135M	-1.937M	15.189M	
2020년 12월 10일	00:30	15.189M	-1.424M	-0.679M	
2020년 12월 03일	00:30	-0.679M	-2.358M	-0.754M	
2020년 11월 26일	00:30	-0.754M	0.127M	0.768M	
2020년 11월 19일	00:30	0.768M	1.650M	4.278M	
