발표일	시간	발표	예측	이전	
2022년 02월 01일	00:00	9.93M	 	9.87M	
2021년 12월 31일	22:00	9.87M	 	9.76M	
2021년 12월 01일	00:00	9.76M	 	9.68M	
2021년 10월 30일	00:00	9.68M	 	9.49M	
2021년 10월 01일	00:00	9.49M	 	9.40M	
2021년 09월 01일	00:00	9.40M	 	8.91M	
2021년 07월 31일	00:00	8.91M	 	8.47M	
2021년 07월 01일	00:00	8.47M	 	8.13M	
2021년 06월 01일	00:00	8.13M	 	8.09M	
2021년 05월 01일	00:00	8.09M	 	8.12M	
2021년 04월 01일	00:00	8.12M	 	9.05M	
2021년 02월 27일	00:00	9.05M	 	8.96M	
2021년 01월 30일	00:00	8.96M	 	8.97M	
2021년 01월 01일	00:00	8.97M	 	8.96M	
2020년 12월 01일	00:00	8.96M	 	8.96M	
2020년 10월 31일	00:00	8.96M	 	8.89M	
2020년 10월 01일	00:00	8.89M	 	8.41M	
2020년 09월 01일	00:00	8.41M	 	7.56M	
2020년 08월 01일	00:00	7.56M	 	8.48M	
2020년 07월 01일	00:00	8.48M	 	11.55M	
2020년 05월 30일	00:00	11.55M	 	10.00M	
2020년 05월 01일	00:00	10.00M	 	9.68M	
2020년 04월 01일	00:00	9.68M	 	9.72M	
2020년 02월 01일	02:00	9.72M	 	9.80M	
2019년 11월 30일	23:00	9.85M	 	9.85M	
2019년 11월 01일	00:45	9.90M	 	9.05M	
2019년 10월 01일	06:11	9.05M	 	9.05M	
2019년 09월 01일	00:15	9.63M	 	9.63M	
