발표일	시간	발표	예측	이전	
2022년 02월 01일	00:00	2.88M	 	2.85M	
2021년 12월 31일	22:00	2.85M	 	2.83M	
2021년 12월 01일	00:00	2.83M	 	2.79M	
2021년 10월 30일	00:00	2.79M	 	2.78M	
2021년 10월 01일	00:00	2.78M	 	2.72M	
2021년 09월 01일	00:00	2.72M	 	2.68M	
2021년 07월 31일	00:00	2.68M	 	2.64M	
2021년 07월 01일	00:00	2.64M	 	2.61M	
2021년 06월 01일	00:00	2.61M	 	2.61M	
2021년 05월 01일	00:00	2.61M	 	2.61M	
2021년 04월 01일	00:00	2.61M	 	2.61M	
2021년 02월 27일	00:00	2.61M	 	2.58M	
2021년 01월 30일	00:00	2.58M	 	2.52M	
2021년 01월 01일	00:00	2.52M	 	2.44M	
2020년 12월 01일	00:00	2.44M	 	2.53M	
2020년 10월 31일	00:00	2.53M	 	2.71M	
2020년 10월 01일	00:00	2.71M	 	2.43M	
2020년 09월 01일	00:00	2.43M	 	2.35M	
2020년 08월 01일	00:00	2.35M	 	2.48M	
2020년 07월 01일	00:00	2.48M	 	3.84M	
2020년 05월 30일	00:00	3.84M	 	3.51M	
2020년 05월 01일	00:00	3.51M	 	3.04M	
2020년 04월 01일	00:00	3.04M	 	2.99M	
2020년 02월 01일	02:00	2.99M	 	3.04M	
2019년 11월 30일	23:00	 	 	3.07M	
2019년 11월 01일	00:45	3.07M	 	3.07M	
2019년 10월 01일	06:11	3.07M	 	3.07M	
2019년 09월 01일	00:15	3.07M	 	3.07M	
