발표일	시간	발표	예측	이전	
2022년 02월 01일	00:00	4.27M	 	4.24M	
2021년 12월 31일	22:00	4.24M	 	4.15M	
2021년 12월 01일	00:00	4.15M	 	4.14M	
2021년 10월 30일	00:00	4.14M	 	4.06M	
2021년 10월 01일	00:00	4.06M	 	3.98M	
2021년 09월 01일	00:00	3.98M	 	3.94M	
2021년 07월 31일	00:00	3.94M	 	3.97M	
2021년 07월 01일	00:00	3.97M	 	3.92M	
2021년 06월 01일	00:00	3.92M	 	3.91M	
2021년 05월 01일	00:00	3.91M	 	3.89M	
2021년 04월 01일	00:00	3.89M	 	3.84M	
2021년 02월 27일	00:00	3.84M	 	3.85M	
2021년 01월 30일	00:00	3.85M	 	3.77M	
2021년 01월 01일	00:00	3.77M	 	3.84M	
2020년 12월 01일	00:00	3.84M	 	3.69M	
2020년 10월 31일	00:00	3.69M	 	3.65M	
2020년 10월 01일	00:00	3.65M	 	3.75M	
2020년 09월 01일	00:00	3.75M	 	3.72M	
2020년 08월 01일	00:00	3.72M	 	4.17M	
2020년 07월 01일	00:00	4.17M	 	4.52M	
2020년 05월 30일	00:00	4.52M	 	4.57M	
2020년 05월 01일	00:00	4.57M	 	4.59M	
2020년 04월 01일	00:00	4.59M	 	4.53M	
2020년 02월 01일	02:00	4.54M	 	4.57M	
2019년 11월 30일	23:00	4.62M	 	4.62M	
2019년 11월 01일	00:45	4.65M	 	4.67M	
2019년 10월 01일	06:11	4.67M	 	4.67M	
2019년 09월 01일	00:15	4.76M	 	4.76M	
2019년 08월 01일	00:15	4.60M	 	4.55M	
2019년 06월 28일	21:38	4.55M	 	4.65M	
2019년 05월 31일	17:12	4.65M	 	4.65M	
2019년 04월 30일	17:50	4.53M	 	4.50M	
2019년 04월 01일	21:40	4.50M	 	4.58M	
2019년 03월 01일	22:00	4.6M	 	4.7M	
