,date,WTI,Brent,Dubai
1,2022-02-16,93.66,94.81,92.60
2,2022-02-15,92.07,93.28,93.05
3,2022-02-14,95.46,96.48,92.72
4,2022-02-11,93.10,94.44,90.25
5,2022-02-10,89.88,91.41,90.60
6,2022-02-09,89.66,91.55,89.39
7,2022-02-08,89.36,90.78,90.42
8,2022-02-07,91.32,92.69,90.91
9,2022-02-04,92.31,93.27,90.22
10,2022-02-03,90.27,91.11,87.46
1,2022-01-31,88.15,91.21,88.39
2,2022-01-28,86.82,90.03,87.58
3,2022-01-27,86.61,89.34,87.80
4,2022-01-26,87.35,89.96,86.77
5,2022-01-25,85.60,88.20,84.86
6,2022-01-24,83.31,86.27,86.71
7,2022-01-21,85.14,87.89,85.14
8,2022-01-20,86.90,88.38,86.35
9,2022-01-19,86.96,88.44,86.37
10,2022-01-18,85.43,87.51,86.58
11,2022-01-17,N.A,86.48,84.92
12,2022-01-14,83.82,86.06,83.75
13,2022-01-13,82.12,84.47,82.96
14,2022-01-12,82.64,84.67,82.19
15,2022-01-11,81.22,83.72,79.97
16,2022-01-10,78.23,80.87,80.36
17,2022-01-07,78.90,81.75,80.55
18,2022-01-06,79.46,81.99,78.83
19,2022-01-05,77.85,80.80,78.40
20,2022-01-04,76.99,80.00,77.51
21,2022-01-03,76.08,78.98,76.88
1,2021-12-31,75.21,77.78,77.12
2,2021-12-30,76.99,79.32,77.24
3,2021-12-29,76.56,79.23,76.91
4,2021-12-28,75.98,78.94,76.47
6,2021-12-24,N.A,76.14,74.37
7,2021-12-23,73.79,76.85,73.54
8,2021-12-22,72.76,75.29,72.56
9,2021-12-21,71.12,73.98,70.56
10,2021-12-20,68.23,71.52,70.11
11,2021-12-17,70.86,73.52,73.36
12,2021-12-16,72.38,75.02,73.37
13,2021-12-15,70.87,73.88,72.01
14,2021-12-14,70.73,73.70,73.39
15,2021-12-13,71.29,74.39,74.11
16,2021-12-10,71.67,75.15,72.72
17,2021-12-09,70.94,74.42,74.48
18,2021-12-08,72.36,75.82,73.83
19,2021-12-07,72.05,75.44,73.22
20,2021-12-06,69.49,73.08,70.12
21,2021-12-03,66.26,69.88,70.79
22,2021-12-02,66.50,69.67,69.13
23,2021-12-01,65.57,68.87,71.13
1,2021-11-30,66.18,70.57,71.88
2,2021-11-29,69.95,73.44,75.17
3,2021-11-26,68.15,72.72,77.38
4,2021-11-25,N.A,82.22,81.44
5,2021-11-24,78.39,82.25,81.86
6,2021-11-23,78.50,82.31,78.47
7,2021-11-22,76.75,79.70,78.42
8,2021-11-19,76.10,78.89,80.89
9,2021-11-18,79.01,81.24,78.66
