,index,0
0,"['뉴욕증시', '물가지수', '발표', '관망세속', '3거래일째', '상승']",252
1,"['코스피', '개', '상승', '출발…2360선', '등락']",251
2,"['뉴욕증시', '기준금리', '인상', '임박·국무장관', '경질', '등', '악재', '하락…다우', '0.68', '내']",248
3,"['정유업계', '‘美', '파리기후협정', '탈퇴·韓', '정부', '환경규제', '강화’', '시름']",241
4,"['홍콩', '증시', '상승', '마감', '텅쉰(騰訊)', '중국이동,', '중국건설은행,', '중국']",213
5,"['모닝', '뉴스브리핑7]', '오늘', '수능', '한파', '외투', '챙기세요…', ""'지스타"", '2019', '부산', '벡스']",206
6,"['주간추천종목', '유안타증권(S-Oil·CJ', 'E&M·삼양옵틱스']",193
7,"['증권', '“한국가스공사,', '국내', '가치', '상승”…목표가↑']",192
8,"['모닝', '뉴스브리핑7]', '니콜라', '트럭', '화학', '배터리', '장착', '가능성…', '뉴욕증시']",192
9,"['홍콩', '증시', '미국', '금리인하', '전망', '상승', '개장', '텅쉰(騰訊)', '유방보험', '중국']",187
10,"['사설', '스태그플레이션', '조짐', '선제', '대응']",184
11,"['뉴욕증시', '미중간', '무역협상', '낙관론', '트럼트대통령', '발언', '급반등…다우', '0.', '82']",183
12,"['사설', '베네수엘라', '디폴트', '위', '무분별', '복지포퓰리즘', '종말']",178
13,"['뉴욕증시', '터키', '리라화', '폭락', '해외발', '악재', '급락세…다우', '0.77', '하락마감']",175
14,"['천정부지', '가격…에어컨', '포기', '택시기사들']",174
15,"['대외경제정책연구원(KIEP)', '""미국', '이', '사태', '한국', '에너지', '수', '거시', '경제', '영']",170
16,"['10월', '셋째', '주', '평균', '휘발유값', '1505.', '3원…12주', '연속', '상승']",166
17,"['[김대호', '박사', '엔화', '환율', '급락', '1000원', '붕괴', '이유', '추적', '박근']",162
18,"['뉴욕증시', '코로나19', '델타변', '확산', '우려', '등', '영향', '급락세…항공업종', '5']",161
19,"['증시클로즈업', '2300', '돌파', '코스피', '고점', '‘숨고르기’']",159
20,"['뉴욕증시', '다우', '0.46', '↑.', '미중', '양국', '무역협상', '타결', '기대감', '상승세', '지속']",156
21,"['뉴욕증시', '경기침체', '공포', '완화', '영향', '소폭', '반등-미국', '소매판매', '호조…다우', '0.3']",153
22,"['모닝', '뉴스브리핑7]', '방탄소년단', '소속사', '빅히트', '오늘', '증시', '입성', '‘따상’']",151
23,"['뉴욕증시', '미중', '무역협상', '재개', '기술주', '약세', '등', '호·악재', '혼조세…다우']",149
24,"['뉴욕증시', '비트코', '코인베이스', '나스닥', '상장+', '국채금리+', '인플레이션…']",149
25,"['이슈진단', '김대호', '박사', '동영상', '①', '가상화폐', '운명의날', '②', '김학철', '막말', '③', '레밍']",146
26,"['뉴욕증시', '미중간', '무역협상', '불안감·경기부진', '우려', '혼조세…다우', '0.03', '상승']",145
27,"['해외', '한국기업', '이슈', '2월', '4일', '포스코인터내셔널,', '미얀마', '군부', '쿠데타', '슈']",144
28,"['“전기료', '”…다시', '한국전력', '주가']",139
29,"['모닝', '뉴스브리핑7]', '기술주', '반등', '나스닥', '229포인트↑…', '서울', '게릴라성', '폭우', '조']",138
30,"['코스닥', '시총', '지각변동', '제약·바이오', '5개', '종목(셀트리온헬스케어·셀트리온']",137
31,"['코스닥', '외국', '자', '상승폭', '반납…', '셀트리온헬스케어,', '신라젠,']",135
32,"['모닝', '뉴스브리핑7]', '트럼프', '홍콩', '특별지위', '박탈', '서명…', '다우지수', '556.', '79포인']",127
33,"['엔지니어출신', '건설사', '“적지만', '강하다”']",125
34,"['사설', '금리인상', '충격', '흡수', '선제적', '대책', '필요']",114
35,"['뉴욕증시', '미중', '무역전쟁', '확대', '불구', '기술주', '강세', '상승반전…나스닥,']",98
36,"['뉴욕증시', '호', '적', '무역전쟁', '우려', '등', '대내외', '악재', '하락…다우', '0.50', '내']",97
37,"['일본', '증시', '하락', '출발…코로나19', '2차', '유행', '우려', '등', '뉴욕증시', '폭락']",96
38,"['러시아,', '기준금리', '3번', '인하…연', '9']",91
39,"['뉴욕증시', '무역분쟁우려', '북미정상회담', '기대감', '강보합세…다우', '0.02']",91
40,"['내년', '국내외', '경제', '회복세', '지속', '후', '하반기', '둔화', '것']",91
41,"['서울경제TV', '해외선물', '신', '해외선물', '팀셰르파', '쎈(SEN)', '시황']",84
42,"['해외', '한국기업', '이슈', '2월', '16일', '아모레퍼시픽,', '동남아', '전자상거래', '플랫폼', '쇼']",81
43,"['모닝', '뉴스브리핑7]', '미중', '무역협상', '원칙적', '합', '다우지수', '220.', '75포인트', '상승…']",78
44,"['뉴욕증시', '실적부진', '등', '악재', '미중간', '무역협상', '기대감영향', '상승반전…다우']",78
45,"['코스닥', '외국인·기관', '사자', '상승', '마감…펄어비스,', '셀트리온헬스케어,', 'SK머티']",75
46,"['10시', '생활경제뉴스']",70
47,"['동영상', '뉴욕증시', '0.8', '안팎', '하락', '사흘째', '내려…미', '국채', '10년물', '금리', '급등']",62
48,"['에너지공기업', '경영평가…한국수력원자력,', '한국남동발전,', '한국동서발전', '등']",58
49,"['연합뉴스', '시각', '헤드라인', '08', '00']",54
50,"['모닝', '뉴스브리핑7]', '중국', '코로나19', '확산', '둔화…', '뉴욕증시', '3대', '지수', '사상']",54
51,"['오늘', '금시']",52
52,"['딜링룸', '24시…챙겨봐야할', '국제경제뉴스']",48
53,"['연합뉴스', '시각', '헤드라인', '10', '00']",41
54,"['글로벌', '마켓뉴스', '12', '12', '정치적', '내홍', '뉴욕증시', '세계시장', '미국']",36
55,"['[충청매일]', '충북', '휘발유가격', '4주', '연속', '상승…올해', '최고', '경신']",35
56,"['코스닥', '개', '사자', '상승세…스튜디오드래곤,', '셀트리온헬스케어,']",30
57,"['[서울경제TV', '‘해외선물', '신세계’]', '시스템', '“한', '눈', '경제”']",28
58,"['[서울경제TV', '‘해외선물', '신세계’]', '나이스잭팟', '“해외선물', '탄탄탄', '”']",27
59,"['日刊', '천지', '성공투자', '신', '한', '수']",27
60,"['뉴욕증시', '기업실적', '악화', '전망', '미중간', '무역협상', '타결', '기대감', '혼조세…다우']",19
61,"['연합뉴스', '시각', '헤드라인', '12', '00']",19
62,"['직전대비', '오늘장', '공략주']",19
63,"['현대건설(000720)', '종목알파', '분석', '외국', '기관', '실시간', '수급', '추', '매수', '확']",16
64,"['5일', '국제유가', '상승']",16
65,['기름값'],16
66,"['16일', '국제유가', '상승']",15
67,"['최원철', '부동산', '경제뉴스']",14
68,"['연합뉴스', '시각', '헤드라인', '16', '00']",14
69,"['대우조선해양', '소난골', '드릴십', '1척', '인도']",14
70,"['23일', '국제유가', '상승']",13
71,"['7일', '국제유가', '하락']",13
72,"['10일', '국제유가', '상승']",13
73,"['3일', '국제유가', '상승']",13
74,"['20일', '국제유가', '상승']",13
75,[],13
76,"['25일', '국제유가', '상승']",12
77,"['한화건설', '이라크', '비스마야', '신도시', '사업여건', '개선']",12
